"","X","probeset_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","transcript_cluster_id","seqname","strand","start","stop","total_probes","gene_assignment","mrna_assignment","swissprot","unigene","GO_biological_process","GO_cellular_component","GO_molecular_function","pathway","protein_domains","crosshyb_type","category"
"1",29398,17449718,1.33999199958593,6.71211775636626,8.33159290247301,0.000184665990114209,0.967348175477191,0.811674535448952,17449718,"chr5","-",92346638,92348889,26,"NM_021274.2 // Cxcl10 // Mus musculus chemokine (C-X-C motif) ligand 10 (Cxcl10), mRNA. // --- // --- /// ENSMUST00000038816 // Cxcl10 // chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450] // --- // --- /// ENSMUST00000118006 // Cxcl10 // chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450] // --- // ---","NM_021274.2 // blat // Mus musculus chemokine (C-X-C motif) ligand 10 (Cxcl10), mRNA. // chr5 // --- // --- // --- // --- // --- /// ENSMUST00000038816 // ensGene // chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450] // chr5 // --- // --- // --- // --- // --- /// ENSMUST00000118006 // ensGene // chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450] // chr5 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"2",22805,17382357,-1.06273668672771,4.81690700980197,-6.63902847054845,0.000623798392919466,0.967348175477191,0.777181481066055,17382357,"chr2","-",25006152,25006258,6,"ENSMUST00000083864 // U6 // U6 spliceosomal RNA  [Source:RFAM;Acc:RF00026] // --- // ---","ENSMUST00000083864 // ensGene // U6 spliceosomal RNA  [Source:RFAM;Acc:RF00026] // chr2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"main"
"3",10384,17262586,-1.11941027986164,4.45407417002677,-6.5105613101186,0.00069108375578114,0.967348175477191,0.773613349124014,17262586,"chr11","-",52038850,52039471,16,"ENSMUST00000133940 // Gm12205 // predicted gene 12205 [Source:MGI Symbol;Acc:MGI:3650261] // --- // ---","ENSMUST00000133940 // ensGene // predicted gene 12205 [Source:MGI Symbol;Acc:MGI:3650261] // chr11 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"4",22917,17383781,-0.979118251560006,6.65805702693064,-6.41075686726549,0.000749157728231082,0.967348175477191,0.770719343481928,17383781,"chr2","-",31209470,31211347,20,"ENSMUST00000146769 // Gm13405 // predicted gene 13405 [Source:MGI Symbol;Acc:MGI:3649515] // --- // ---","ENSMUST00000146769 // ensGene // predicted gene 13405 [Source:MGI Symbol;Acc:MGI:3649515] // chr2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"5",24054,17395227,-0.931978464897394,6.9194100796621,-6.19958418677441,0.000891557154988113,0.967348175477191,0.764218976944293,17395227,"chr2","-",175129493,175142012,9,"XR_104777.2 // Gm14443 // PREDICTED: Mus musculus predicted gene 14443 (Gm14443), miscRNA. // --- // --- /// ENSMUST00000109060 // Gm14399 // predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082] // --- // --- /// ENSMUST00000108929 // Gm14399 // predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082] // --- // --- /// ENSMUST00000109062 // Gm14399 // predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082] // --- // --- /// ENSMUST00000109059 // Gm14399 // predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082] // --- // ---","XR_104777.2 // blat // PREDICTED: Mus musculus predicted gene 14443 (Gm14443), miscRNA. // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000109060 // ensGene // predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000108929 // ensGene // predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000109062 // ensGene // predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082] // chr2 // --- // --- // --- // --- // --- /// ENSMUST00000109059 // ensGene // predicted gene 14399 [Source:MGI Symbol;Acc:MGI:3650082] // chr2 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"main"
"6",29516,17451124,-2.17637096049829,6.28462565727942,-6.08108891233154,0.000984993411866812,0.967348175477191,0.760331159376705,17451124,"chr5","-",110677124,110677230,6,"ENSMUST00000083841 // U6 // U6 spliceosomal RNA  [Source:RFAM;Acc:RF00026] // --- // ---","ENSMUST00000083841 // ensGene // U6 spliceosomal RNA  [Source:RFAM;Acc:RF00026] // chr5 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"main"
"7",17884,17333946,-1.3404992857319,7.10580120836525,-6.02030820269762,0.00103725699072041,0.967348175477191,0.758265595351394,17333946,"chr17","+",21567046,21588697,14,"NM_001002008.1 // Zfp948 // Mus musculus zinc finger protein 948 (Zfp948), mRNA. // --- // --- /// ENSMUST00000088787 // Zfp948 // zinc finger protein 948 [Source:MGI Symbol;Acc:MGI:3040683] // --- // ---","NM_001002008.1 // blat // Mus musculus zinc finger protein 948 (Zfp948), mRNA. // chr17 // --- // --- // --- // --- // --- /// ENSMUST00000088787 // ensGene // zinc finger protein 948 [Source:MGI Symbol;Acc:MGI:3040683] // chr17 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"8",7232,17231600,-0.940269477809795,6.12492873625186,-5.9760837742164,0.00107728828631541,0.967348175477191,0.756731146014777,17231600,"chr10","+",7836381,7836474,23,"NR_039563.1 // Mir5104 // Mus musculus microRNA 5104 (Mir5104), microRNA. // --- // --- /// ENSMUST00000175319 // Mir5104 // microRNA 5104 [Source:MGI Symbol;Acc:MGI:4950424] // --- // ---","NR_039563.1 // blat // Mus musculus microRNA 5104 (Mir5104), microRNA. // chr10 // --- // --- // --- // --- // --- /// ENSMUST00000175319 // ensGene // microRNA 5104 [Source:MGI Symbol;Acc:MGI:4950424] // chr10 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
"9",37329,17526512,-1.0619046721047,4.29365315119178,-5.95957677000797,0.00109268245370032,0.967348175477191,0.756151461415217,17526512,"chr9","-",45634706,45634812,4,"ENSMUST00000082901 // U6 // U6 spliceosomal RNA  [Source:RFAM;Acc:RF00026] // --- // ---","ENSMUST00000082901 // ensGene // U6 spliceosomal RNA  [Source:RFAM;Acc:RF00026] // chr9 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",3,"main"
"10",37635,17529842,-1.08753143831177,3.93331117076832,-5.94357701404156,0.00110784492417696,0.967348175477191,0.755585942481324,17529842,"chr9","-",96549594,96549709,22,"ENSMUST00000122752 // n-R5s87 // nuclear encoded rRNA 5S 87 [Source:MGI Symbol;Acc:MGI:4421935] // --- // ---","ENSMUST00000122752 // ensGene // nuclear encoded rRNA 5S 87 [Source:MGI Symbol;Acc:MGI:4421935] // chr9 // --- // --- // --- // --- // ---","---","---","---","---","---","---","---",1,"main"
